City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Butaritari,KI,3.0707,172.7902,81.36,79,97,20.69,light rain
116,Ballina,AU,-28.8667,153.5667,84.02,67,49,9.75,scattered clouds
117,Sorong,ID,-0.8833,131.25,80.38,78,99,5.53,overcast clouds
118,Neiafu,TO,-18.65,-173.9833,77.68,83,100,4.61,moderate rain
119,Katsuura,JP,35.1333,140.3,56.66,56,49,8.7,scattered clouds
120,Namtsy,RU,62.7161,129.6658,-37.26,95,97,1.23,overcast clouds
121,Avera,US,33.194,-82.5271,42.31,55,2,4.29,clear sky
122,San Quintin,MX,30.4833,-115.95,56.79,74,0,7.34,clear sky
123,Quatre Cocos,MU,-20.2078,57.7625,80.1,80,47,15.55,light rain
124,Campbell River,CA,50.0163,-125.2446,48.45,93,100,14.97,overcast clouds
125,Hami,CN,42.8,93.45,33.51,47,100,3.15,overcast clouds
126,Flin Flon,CA,54.7682,-101.865,5.61,90,100,8.48,overcast clouds
127,Aljezur,PT,37.3191,-8.8033,48.13,72,0,0.4,clear sky
128,Kampene,CD,-3.6,26.6667,65.16,99,95,2.37,overcast clouds
129,Qasigiannguit,GL,68.8193,-51.1922,-1.95,98,100,6.15,overcast clouds
130,Lorengau,PG,-2.0226,147.2712,78.62,87,100,5.84,moderate rain
131,Cayenne,GF,4.9333,-52.3333,75.24,100,75,5.75,broken clouds
132,Avarua,CK,-21.2078,-159.775,84.25,79,20,11.5,few clouds
133,Goderich,CA,43.7501,-81.7165,28.72,80,74,12.66,broken clouds
134,Skibbereen,IE,51.55,-9.2667,49.1,86,100,8.86,overcast clouds
135,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.06,92,73,2.89,broken clouds
136,Walvis Bay,NA,-22.9575,14.5053,66.09,88,100,5.75,overcast clouds
137,Te Anau,NZ,-45.4167,167.7167,61.72,58,30,11.27,scattered clouds
138,Gwadar,PK,25.1216,62.3254,70.54,46,24,3.47,few clouds
139,Tiksi,RU,71.6872,128.8694,-24.93,99,100,2.91,overcast clouds
140,Lompoc,US,34.6391,-120.4579,53.53,62,0,17.0,clear sky
141,Tasiilaq,GL,65.6145,-37.6368,5.16,96,100,6.06,overcast clouds
142,Ilulissat,GL,69.2167,-51.1,-2.18,78,75,5.75,broken clouds
143,Voi,KE,-3.3945,38.563,70.2,86,100,3.09,overcast clouds
144,Portland,US,45.5234,-122.6762,48.49,88,100,10.36,overcast clouds
145,Lasa,IT,46.6166,10.7002,26.02,95,76,0.65,broken clouds
146,Georgetown,MY,5.4112,100.3354,84.13,78,20,5.75,few clouds
147,Airai,TL,-8.9266,125.4092,72.86,61,61,4.54,broken clouds
148,Maxixe,MZ,-23.8597,35.3472,74.23,90,91,5.32,moderate rain
149,Atlantic City,US,39.3643,-74.4229,39.02,71,0,8.05,clear sky
150,Tommot,RU,58.9564,126.2925,-30.64,94,84,0.45,broken clouds
151,Swidnik,PL,51.219,22.6962,24.69,93,75,9.22,broken clouds
152,Tuktoyaktuk,CA,69.4541,-133.0374,-40.0,67,100,4.61,overcast clouds
153,Saint-Philippe,RE,-21.3585,55.7679,78.39,86,89,12.3,light rain
154,Margate,GB,51.3813,1.3862,33.91,81,0,7.56,clear sky
155,Severo-Kurilsk,RU,50.6789,156.125,25.95,74,96,12.03,overcast clouds
156,Kloulklubed,PW,7.0419,134.2556,81.1,76,94,18.75,overcast clouds
157,Marzuq,YE,14.4,46.4667,59.09,17,14,6.69,few clouds
158,Umm Lajj,SA,25.0213,37.2685,65.95,53,100,14.36,overcast clouds
159,Arraial Do Cabo,BR,-22.9661,-42.0278,75.51,92,99,0.43,light rain
160,Dongkan,CN,33.9997,119.8308,50.4,53,12,5.64,few clouds
161,Saskylakh,RU,71.9167,114.0833,-36.36,100,100,1.81,overcast clouds
162,Harwich,GB,51.9419,1.2844,32.97,83,2,2.35,clear sky
163,Mahibadhoo,MV,3.7833,72.9667,80.58,72,83,9.82,broken clouds
164,Hirara,JP,24.8,125.2833,73.67,73,40,9.22,scattered clouds
165,Tilichiki,RU,60.4667,166.1,-17.66,90,35,8.81,scattered clouds
166,Yaqui,MX,27.3667,-110.1667,64.94,40,98,17.34,overcast clouds
167,Mitu,CO,1.1983,-70.1733,71.26,98,54,2.42,broken clouds
168,North Bend,US,43.4065,-124.2243,44.92,93,0,5.75,clear sky
169,Saint George,US,37.1041,-113.5841,45.43,48,0,17.27,clear sky
170,Faanui,PF,-16.4833,-151.75,81.27,76,7,13.82,clear sky
171,Passo Fundo,BR,-28.2628,-52.4067,63.3,71,0,6.33,clear sky
172,Alyangula,AU,-13.8483,136.4192,86.86,53,54,4.03,broken clouds
173,Sinnamary,GF,5.3833,-52.95,75.72,89,93,12.3,overcast clouds
174,Benalla,AU,-36.55,145.9833,83.86,19,0,5.48,clear sky
175,Klaksvik,FO,62.2266,-6.589,43.72,63,30,25.97,scattered clouds
176,Gryazovets,RU,58.88,40.2525,-6.23,100,100,4.72,overcast clouds
177,Srednekolymsk,RU,67.45,153.6833,-32.84,97,94,5.95,overcast clouds
178,Isangel,VU,-19.55,169.2667,86.11,79,100,3.44,moderate rain
179,Pangkalanbuun,ID,-2.6833,111.6167,88.16,54,100,5.19,overcast clouds
180,Shizunai,JP,42.3339,142.3669,30.49,60,7,10.09,clear sky
181,Huilong,CN,31.8111,121.655,45.39,77,100,8.23,overcast clouds
182,Manzhouli,CN,49.6,117.4333,3.88,91,36,10.2,scattered clouds
183,Les Cayes,HT,18.2,-73.75,73.44,82,2,4.79,clear sky
184,Marsh Harbour,BS,26.5412,-77.0636,70.99,64,7,13.6,clear sky
185,Lata,PT,40.1629,-8.3327,46.08,71,0,6.67,clear sky
186,Freetown,SL,8.484,-13.2299,78.51,78,75,8.05,broken clouds
187,Yenagoa,NG,4.9247,6.2642,77.14,89,39,3.69,scattered clouds
188,Vallenar,CL,-28.5708,-70.7581,69.85,67,3,4.12,clear sky
189,Ugoofaaru,MV,5.6667,73.0,80.64,75,91,10.54,overcast clouds
190,Den Helder,NL,52.9599,4.7593,34.99,93,1,5.01,mist
191,Skjervoy,NO,70.0311,20.9714,53.6,90,100,15.1,light rain
192,Machali,CL,-34.1833,-70.6667,70.02,44,0,1.61,clear sky
193,Domvraina,GR,38.25,22.9833,36.37,96,100,6.6,snow
194,Ellensburg,US,46.9965,-120.5479,40.64,79,0,12.66,clear sky
195,Touros,BR,-5.1989,-35.4608,79.41,74,39,11.99,scattered clouds
196,Grand Gaube,MU,-20.0064,57.6608,80.38,76,16,8.01,few clouds
197,East London,ZA,-33.0153,27.9116,70.74,94,0,2.3,clear sky
198,Mandalgovi,MN,45.7625,106.2708,12.06,57,25,6.8,scattered clouds
199,Cherskiy,RU,68.75,161.3,-33.2,99,100,3.96,overcast clouds
200,Chapais,CA,49.7834,-74.8492,-0.62,94,54,6.11,broken clouds
201,Ferrol,ES,43.4832,-8.2369,45.68,75,0,11.52,clear sky
202,Oriximina,BR,-1.7656,-55.8661,73.6,94,56,2.64,broken clouds
203,Bogotol,RU,56.2078,89.5342,6.8,87,100,6.08,overcast clouds
204,Panzhihua,CN,26.5851,101.7128,61.86,35,0,0.18,clear sky
205,Faya,SA,18.3851,42.4509,50.11,61,69,3.91,broken clouds
206,Perth,AU,-31.9333,115.8333,83.03,52,40,8.05,scattered clouds
207,Petropavlovka,RU,50.6114,105.3196,4.78,88,42,3.8,scattered clouds
208,Olafsvik,IS,64.8945,-23.7142,32.47,61,94,29.97,light snow
209,Ancud,CL,-41.8697,-73.8203,52.27,90,0,2.19,clear sky
210,Belaya Gora,RU,68.5333,146.4167,-22.7,98,99,2.24,overcast clouds
211,Pisco,PE,-13.7,-76.2167,73.45,94,6,8.05,clear sky
212,Tokat,TR,40.4167,36.5833,18.1,95,100,9.64,light snow
